OK;TAMAM
YES;EVET
NO;HAYIR
CANCEL;IPTAL
SAVE;KAYDET
IMAGES;Resimler
LANGUAGE;Dil:
ADD_IMAGES;Resim ekle
ADD_IMAGES_TITLE;Resim ekle
ADD_FOLDER;Klasör ekle
ADD_FOLDER_TITLE;Klasör ekle
ADD_ZIP;ZIP Ekle
ADD_ZIP_TITLE;Resimleri ZIP halinde ekle
IMAGE_DROP_HELP;Resimleri/ZIPleri buraya sürükle
CLEAR;Temizle
CLEAR_TITLE;Tüm resimleri temizle
DELETE;Sil
DELETE_TITLE;Seçili resimleri sil
REPLACE_FILES_PROMPT;Varolan dosyayı değiştir?
DISPLAY_OUTLINES;Dış hatlar:
SCALE;Boyut:
SHOW_SPRITES;Animasyonlar
SPRITE_NAME;Sprite ismi:
ANIMATION_SPEED;Animasyon hızı:
TEXTURE_NAME;Texture ismi:
TEXTURE_NAME_TITLE;Dışarı aktarılacak texture ismi
TEXTURE_FORMAT;Texture türü:
TEXTURE_FORMAT_TITLE;Dışarı aktarılacak texture türü
REMOVE_FILE_EXT;Dosya uzantısını kaldır:
REMOVE_FILE_EXT_TITLE;Dosya uzantısını kaldır
PREPEND_FOLDER;Klasör adını öne ekle:
PREPEND_FOLDER_TITLE;Klasör adını dosya adının önüne ekle
BASE64_EXPORT_TITLE;base64 formatında dışarı aktar (eğer mümkünse)
BASE64_EXPORT;base64 formatında aktar
TINIFY_TITLE;Tinify https://tinypng.com kullanır
TINIFY;Tinify
TINIFY_KEY_TITLE;TinyPNG anahtarı https://tinypng.com/developers 
TINIFY_KEY;TinyPNG anahtarı
DISABLE_SMOOTHING;Yumuşatma devredışı
DISABLE_SMOOTHING_TITLE;Resim yumuşatmayı devredışı bırakır
SCALE;Boyut:
SCALE_TITLE;Ana texture boyutu
FILTER;Filtre:
FILTER_TITLE;Son hali için filtreler
FORMAT;Format:
FORMAT_TITLE;Dışarı aktarılacak format
FILE_NAME;Dosya adı:
FILE_NAME_TITLE;Dosya
SAVE_PATH;Kayıt yolu
SAVE_PATH_TITLE;Sonuçları şu yola
WIDTH;Genişlik:
WIDTH_TITLE;Maksimum texture genişliği
HEIGHT;Yükseklik:
HEIGHT_TITLE;Maksimum texture yüksekliği
FIXED_SIZE;Düzenlenmiş boyut:
POWER_OF_TWO;Dokuyu ikile:
POWER_OF_TWO_TITLE;İkili texture boyutu
FIXED_SIZE_TITLE;Düzenlenmiş boyut
PADDING;Dolgu:
PADDING_TITLE;Dolgu
EXTRUDE;Extrude:
EXTRUDE_TITLE;Sprites border pixels extrude size
ALLOW_ROTATION;Rotasyona izin ver:
ALLOW_ROTATION_TITLE;Rotasyona izin ver
ALLOW_TRIM;Kesmeye izin ver:
ALLOW_TRIM_TITLE;Kesmeye izin ver
ALPHA_THRESHOLD;Alpha kanalı:
ALPHA_THRESHOLD_TITLE;Alpha kanalı değeri
TRIM_MODE;Kesme modu:
TRIM_MODE_TITLE;Kesme modları
DETECT_IDENTICAL;Aynı olanı tespit et:
DETECT_IDENTICAL_TITLE;Aynı olanı tespit et
PACKER;Paketleyici:
PACKER_TITLE;Paketleyici
PACKER_METHOD;Method:
PACKER_METHOD_TITLE;Paketleyici methodu
EXPORT;Dışarı aktar
PLEASE_WAIT;Lütfen bekleyin...
INVALID_SIZE_ERROR;Geçersiz boyut. Min: %sx%s
NO_IMAGES_ERROR;Lütfen önce bir resim ekleyin.
CLEAR_WARNING;Tüm resimleri silmek istediğinden emin misin?
INVALID_ZIP_ERROR;Geçersiz ZIP dosyası
NO_TINIFY_KEY_ERROR;Lütfen TinyPNG anahtarını gir https://tinypng.com/developers
TINIFY_ERROR;Tinify hatası: %s
TINIFY_ERROR_COMMON;Tinify hatası...
OLD_BROWSER_MESSAGE1;Üzgünüm, kullandığın tarayıcı bu aracı kullanmak için çok yaşlı.
OLD_BROWSER_MESSAGE2;Lütfen modern tarayıcılardan birini dene:
ABOUT_HOMEPAGE;Ana Sayfa:
ABOUT_SOURCES;Kaynaklar:
